33F7CXYXMRWM6OGXJM3U4NTB64	JEAN's the name. <br> <br/> I was born and raised in CALI.
PVKB5JIGP52W6W6FLZK26AGFVE	hey! i'm a TCK in Peru with a heart full of God!!
PRNJUZB4LB2C6WHWLNF5TECJB4	jojo_btb_4life@yahoo.com <br> <br/> <br> <br/> Im 19, from california but now live in texas, love sports, dancing, being goofy, enjoy cooking and have a talent of singing.
PO7M6MNIMRXVIPHDI36YW27CDU	I am a teenager from Plano, Texas. <br> <br/> I am interested and possess knowledge in just about everthing, and google is a click away. <br> <br/> I am an Ismoniac. <br> <br/> I am also on my computer at least 4 hours a day. <br> <br/> I am the real slim shady.
PF25SG7YO2IK5GGFNP6JRKO2OM	Music: <br> <br/> The Dead 50's <br> <br/> Rise Against <br> <br/> The Bouncing Souls <br> <br/> Lagwagon <br> <br/> The Macc Lads <br> <br/> Kill Your Idols <br> <br/> The Briggs <br> <br/> Screeching Weasel <br> <br/> The Toydolls <br> <br/> The Adicts <br> <br/> The Misfits <br> <br/> Against Me! <br> <br/> Toxic Narcotic <br> <br/> Submarine Screendoor <br> <br/> Reel Big Fish <br> <br/> Mischief Brew <br> <br/> Anti-Flag <br> <br/> The Code <br> <br/> Streetlight Manifesto <br> <br/> Strike Anywhere <br> <br/> NOFX <br> <br/> Seven Seconds <br> <br/> Corrupted Youth <br> <br/> Lifetime <br> <br/> The Subhumans <br> <br/> World Inferno <br> <br/> Bad Religion <br> <br/> The Meatmen <br> <br/> Agnostic Front <br> <br/> Social Distortion <br> <br/> Guttermouth <br> <br/> Choose your own adventure <br> <br/> Big Green Limousine <br> <br/> Anti-Wasteoids <br> <br/> Mustard Plug <br> <br/> Leftover Crack <br> <br/> Billy Idol <br> <br/> The Loved Ones <br> <br/> Against All Authority <br> <br/> Me First and the Gimme Gimmes <br> <br/> The Mighty Mighty Bosstones <br> <br/> Hot Water Music <br> <br/> The Queers <br> <br/> Lost In Greenpoint <br> <br/> Vitamin X <br> <br/> No Trigger <br> <br/> gorilla biscuits <br> <br/> Kid Dynamite <br> <br/> Paint It Black <br> <br/> Government Warning <br> <br/> Municipal Waste <br> <br/> Suicidal Tendencies <br> <br/> Bones Brigade <br> <br/> Defiance, Ohio <br> <br/> Ghost Mice <br> <br/> Stray Cats <br> <br/> Skankin' Pickle <br> <br/> This bike is a pipe bomb <br> <br/> Limp Wrist <br> <br/> Operation Ivy <br> <br/> Flux of pink indians
PJ74MK5TNJTZ7CMTM6FWQCXFLY	I am a student at the great and wonderful Howard University in Washington, DC! I am an advertising Major and fashion student. I plan to utilize both aspects of my education when finding my future career. I live everyday vowing to be a dedicated member of society. I love giving back and helping people. It's how I was raised, its who I am.
P4N6446MCMMDOIKC6TLEUG5MYQ	originally from Northern California; grew up as a military brat; martial arts practitioner, die-hard pro wrestling fan since 1988 <br> <br/> <br> <br/> Interests: sports, martial arts, pro wrestling, the Internet, music, traveling, sudoku
PYR7QOMWGEWSSRGU7VOURQK2PU	I live in San Diego, CA and love it everyday!I work hard during the week and party hard on the weekend!!!
PG4NMAGRSIZQMFKHNHLAX6WYAY	Mvskoke (Creek) Indian <br> <br/> part German <br> <br/> living in Maine highlands
PGGSAJSL6ZGAZDHBQFXQU3BQRQ	my name is Kyle im 17 <br> <br/> I live in Vacaville, CA (need to get the hell out of this place, its the suburbs)....people say im fairly intelligent and i like helping people...im a pretty chill person, message me if you want to get to know me
PSDF4ENIOMOV354OPMLESM36BA	name: Britney Spears <br> <br/> related to: albert Einstein <br> <br/> ambition: to be the president of the united states <br> <br/> <br> <br/> famous for: Being Me
PBFYQVLESWNXOM2OKV3VXSTVIU	Im cristina actually living in Germany
PK3GTNWOCABR6CF7ZDZQSHWF7A	whats up people. from big d texas. love sports. 22. single. business owner
PHWEB3NX2AXUM4VVYGAT5XZLRA	Hello all, My name is Heather. I am a very anime upsessed person and know almost everything about fedual Japan. I love to help people with problems and always will. I am an inspiring Pediatrition. And absolutly love animals. I have an ubsession with stuffed animals and am always smiling. hope this helped you learn a little more about me.
P22ZL7YPKWJTCENFJVVMGBFSJE	I love Tackey, Japan, dogs, kittens, singing, music, travelling and nintendo ds :D
PDN4JGGGNOWIFTK5TDPRRJ2YMM	Hiya, I'm Matej. Or Matt for short. I'm from London and I'm 16. Dark brown hair, and blue eyes. I'm into soccer
PK3MOANASV3J36EMTD5XVAVPPU	What’s good, I’m William. I guess you can call me Bonomo too if you want. it’s been a nickname of mine since 4th grade & its also my Last name. Born and raised in New Jersey, I’m 18 years old and I’m sure that alone gives you a good idea of what my life is like (school, work, partying, and blah, blah).I'm always Singing or Dancing.I’m 100% Italian, I was raised in a wonderful Italian-American environment (my home) so trust me, as disrespectful & Cocky as I might come off, I very well know my rights from my wrongs.Accept from Drugs I’m always down to do whatever & to meet new people.I’m sure whatever weird shit you like, I like too ; ] haha. I’ve traveled a lot and been to more countries then I can count.I don’t believe in stereotypes, I don’t believe that people fall under a certain category; we all eat, shower (hopefully) and sleep. At the end of the day, we all do the same things to survive. So please, don’t hit me up with the “Guido” “pretty boy" shit. <br> <br/> <br> <br/> [Myspace ID 235320693]
PMDO3AB4JPKK65ITGY6XDWMJZ4	I like animals-especially dogs and horses, video games-mostly xbox :) , art and design (a lot!), nature, swimming, reading, writing, and whatever dorky things I do. I'm around Seattle and I love it (well, it's gets kinda crazy and crowded for me...). <br> <br/> <br> <br/> I'm fairly knowledgeable on the aforementioned animal species, art, and graphic design.
PJFBK6GS7JDGG44AWRYCDARLYE	I like to go by the name "Leish" and I've had 24 years of life so far. I love music and guitars. I also have a great de facto boyfriend of five years that I will spend the rest of my life with. *smiles* <br> <br/> <br> <br/> Some people describe me as crazy, insane, weird, freaky, odd, strange, creepy, different, special, cool and funny... I think that's about right. <br> <br/> <br> <br/> Honestly, there isn't much about me to say. I love the usual things like, partying, drinking, chilling with mates and having fun. I like the odd and strange side to life and some times have strange ideas, theory's and perspectives. zI like to be different in some way, as I don't like to blend and 'be normal'. I love art but creating it is so much better. I also love all other things creative such as writing and music... As you can tell, I am a creative person.. This is where my passion lies. <br> <br/> <br> <br/> I am proud to say I am an Aussie living in a small town in NSW, Australia.
PAJBOFGHHRNSUD3F4UMNDYROFA	27 yo French man living in Australia. <br> <br/> <br> <br/> Interest are various and depending on mood but there are a few constants: sports (all sorts), cars, geopolitics, various cultures around the world and exchanging ideas (why I'm logged here).
PAHHMYH22R55ITYQP4A2FMDOTY	Hey, I'm Autumn, or some people call me Sparkie. I enjoy weird things, and many people could describe me as..well...'different'. But thats okay, because being like everyone else is really boring. I could give you a list of how i love hanging out with friends, and all the stuff people always type, but I'm hoping you can assume that, because Im a social person. I'm curious and I like to discover things in my own way. Even when I do find something out, I try to look at it from another perspective. I'm interested in all sorts of art, and anything having to do with Japan. I'm also really into social science, and philosophy. I space out a lot, and I'm a fairly deep thinker. Feel free to email me sometime. <br> <br/> :]]
QHKU3MR4P554I5P4C3HS57GUAI	Don't be afraid to challenge me I love a challenge <br> <br/> <br> <br/> I try to be an upbeat person and use yahoo answers to burn some excess energy. I am 23 live in Jersey, by way of Brooklyn, have no kids, work full times and have too many interest to list here. Hit up my yahoo im with questions/comments/ or concerns
Q7Y6LYEHIUVMT444725WNWI3VA	Hi, I live in Tirana, Albania...I'm 24 years old and I've just started my dreamed carrier. I'm an economist and also appasionate in Geography, Political Situations and different Statistics. About my personal life, I have a fiance and we live together and also a nice and little puppy, called Bori, it's the one in my avatar...I absolutely love Finland and it's style and I'm the greates fan, bye people
QDZZ7DO2J746UDCNURAYAKF5F4	*Seattle, WA: Born 1980 <br> <br/> *Olalla, WA: 1980-1987 <br> <br/> Lived with Mom and Dad and little brother until they separated, never actually finalized divorce until 1992. <br> <br/> *Olalla, WA: 1987-1992 <br> <br/> Parents split, no power and no water in double-wide mobile home set on concrete blocks. <br> <br/> *Mossyrock, WA: 1992-1993 <br> <br/> Lived with Grant, Mom's "boyfriend" that mentally and physically abused her constantly until he died in a car crash. <br> <br/> *Rochester, WA: 1993-2000 <br> <br/> Dad died in his sleep in 1998, went into the Army after a couple years in the Washington National Guard and 2 cross-country Greyhound bus tripzs. <br> <br/> *Ft. Carson, CO: 2000-2001 <br> <br/> Enlisted for 3 years at Ft. Carson but received orders for Germany in June 2001 than of course 9/11. <br> <br/> *Kitzingen, Germany: 2001-2004 <br> <br/> Stationed there until the invasion of Iraq. <br> <br/> *Tikrit, Iraq: 2004-2005 <br> <br/> I'm Democrat and oppose this war for all it's worth. <br> <br/> *SLC, UT: 2005-2006 <br> <br/> Worked for AMEX. <br> <br/> *Tacoma, WA: 2007-Present <br> <br/> Commercial Plumber in Seattle area, also in Air National Guard (USAF).
QTZJUBP7HIE2JKRMH2UCHG7DWI	I'm an LPN from Pennsylvania. 25 yrs. old. After 2 m/c, I finally got a sticky bean & had a baby girl in the beginning of June. <br> <br/> <br> <br/> There are really only 3 things that bug me: <br> <br/> 1) redundant questions. Save yourself time and points by searching through resolved questions. <br> <br/> <br> <br/> 2) kids coming on here asking how to get pregnant. Get off your back and get back to school. <br> <br/> <br> <br/> 3) people asking "Am I pregnant?" How the heck should we know?? Take a test! <br> <br/> <br> <br/> Otherwise, I'm very eager and willing to give advice :)
Q3PTYCFK65EEXNRUYZPUSWUOSI	Me? Well..Im a carpenter by trade. A pretty decent artist by night. And a on and off comic book collector. Im from S.C. Im married and have a son.
QWSYYSB5IAKNBYGHFDAD73Z2FE	Hello, Young guy from the Manawatu New Zealand...Dont use yahoo chat but happy to communicate on here or via email regarding yahoo answers : )
Q2CFQBTRG2J33WWPRZ4YOU5ERI	My parents both died within 12 months of each other (1997-1998) of HIV. My siblings and I were placed with a relative's family, a distant uncle who said he could take us in. I was preparing for my A level exams then and not long after I took them. My uncle raped me over several weeks till I run away and went to the city, Harare. There I had to live and that is when I was introduced to some girls. 1998. My uncle and his wife died in 2001. <br> <br/> <br> <br/> In 2000 I went to South Africa and found that I could earn more money for doing very little. <br> <br/> <br> <br/> In Durban the police were the main customers. Cape Town was good. Joburg I did not like. <br> <br/> <br> <br/> In 2002 I entered the UK worked there till end of October 2005 in Slough area. <br> <br/> <br> <br/> Average earnings without a minder GBP 6000 per month tax free. With a minder its less tan half that. <br> <br/> <br> <br/> I am now in Namibia where I have a boyfriend. My siblings are in Canada, Australia and UK in colleges or universities. It was worth me sacrificing for them. 3 out of 4 is good.
QEGIHY6G2OVKB5WMRPD5K5RC7I	19 <br> <br/> Ontario, Canada <br> <br/> 2nd year University <br> <br/> Cheers! :)
QVAO7K5S7EGPE564S25P5PAZHQ	Student: Grand Cannyon University <br> <br/> Mother: 3 girls ages 15, 12 and 10. <br> <br/> Religion: Seventh Day Sinners Annonymous <br> <br/> Passtime: Runescape, Facebook, YA. <br> <br/> Relationship status: Happily married since June 6, 1999. <br> <br/> Husband job: State-wide and neighboring states truck driver. <br> <br/> I met my husband at a University that neither of us were students at. He came to make a friend. I came because my sister invited me to a prayer conference. I caught his eye by suprise when I was signing "In Moments Like These" in Sign Languagze. He thought he knew everyone in the county who could sign as his parents are both deaf. He was confused that he never met me. It was love at first sight, well pretty much. He told me he loved me about a month later in an evening phone conversation, and I quickly hung up. A few days later I was returning home from the park and it suddenly hit me that I also loved him. It was a very whimsical feeling.
Q3FFMKDVNCSSGGBOUEXINZIBZI	Hi! I'm a social worker from Canada. I also love writing and reading fantasy/science fiction. I'm in my early thirties and engaged. Have a great day (or night)!
QITLNLUWNFRIXJEY3XYNKTIHLQ	I live in Egypt Alexandria city I'm a student in faculty of science biology department. I love horoscopes I'm Picses. I'm glad to enter Yahoo answers I feel like that is the best way to communticate with people around the world
QD4WYLAR3Z7T4ESESM7FFTO5HQ	Hi, my name is Ally. :) <br> <br/> And I'm sixteen years old. <br> <br/> Born on the 25th of January 1997. <br> <br/> Lives in a small town in Virginia. <br> <br/> I'm a shy, sensitive, and quiet girl. <br> <br/> People usually take me for granted. <br> <br/> Some people have told me that I can never say "no" to any question. <br> <br/> One of the staff at school has told me that I need to stop being so nice, and actually stand up for myself. But I just can't do it. <br> <br/> <br> <br/> My two favorite singers are: <br> <br/> <br> <br/> Kevin Bard (Stereo Skyline) <br> <br/> & Bobby Mares (My Genuine Find). <br> <br/> <br> <br/> I would do almost anything to show how much I love Kevin. <3 <br> <br/> I wouldn't do much for Bobby since I'm not in love with him like I am with Kevin. But I do really love Bobby! :) <br> <br/> <br> <br/> Sorry if I've ever been a little rude on here. I've just been having a rough time lately. I'm actually really nice. Everyone who knows me will say the same thing. But I'm trying to stay as positive as I possibly can. <3
QUN2MZKOX7GUUWROZ3CVRPLP34	Im 13 and I love video games and i think that turtles are the best. I live in Dallas, Texas and the reason that I call myself Mr.D is because my name is Daniel and by the way, stop stalking me cause im awesome!
QR7MAPI5ZJDXHV3QNCUAOPVWKU	am jimmy i live in newyork and i have a home in califorbia
QKTE4CSRMKA2GPJWRFZO5C3G7I	im in high <br> <br/> school. i live in the u.s
QEF74YTQMIIOY72UOTVMUSJOIM	Hello Friends i am A graduate From Kanpur. I was preparing for MBA but due to money problem not able to do MBA. i am in search of a job and a low fees course.. <br> <br/> My hobby is collecting coins and currencies, Stamps of different countries. <br> <br/> <br> <br/> I want some good Friend circle.i am some creative also. <br> <br/> Please see my blog <br> <br/> Fro Books, Bank exams, Career, English Speaking books, Sample Paper, Resumes, Resumes book, Personality Development, Leadership, Motivational, and more <br> <br/> see <br> <br/> <br> <br/> CareerPath <br> <br/> <a href="http://www.abhicareer.blogspot.com" rel="nofollow">http://www.abhicareer.blogspot.com</a> <br> <br/> <br> <br/> <br> <br/> And <br> <br/> For fun, sms, joke , Sms book download, Comedy and Chutkule, Jokes download,Chutkule and Games Please se <br> <br/> <br> <br/> Cool Abhi Home <br> <br/> <br> <br/> <a href="http://www.abhifunworld.blogspot.com" rel="nofollow">http://www.abhifunworld.blogspot.com</a> <br> <br/> <br> <br/> Thanks
QD3IVQNC6ZXHSRVTHEQSZTYKY4	My names Rodolfo. I'm 18 and a pretty laid back guy. Grew up in Puerto Rico and moved to the states a couple of years back. I love to hang out with friends. I make friends pretty easily. I'm a pretty cool guy (I guess). If you want to know more ask.
QOINHAWELSQURKTJYOM36NJUDA	I love boxing, lacrosse, writing and painting. I am a self proclaimed music junkie and philosopher. My most favorite place in this world is New York City, where I was born. I am 17 and I feel like life is just starting to get good. So yea..that's me.
QM4BWYPTZ62ZXQWTITVBYMDPNU	hey! im randi! i live in Washington DC. i am a strong liberal democrat that is strongly in favor of the Clintons. Hilary 08!! i lovvvee football and basketball. wizards and redskins... my favorite college is Georgetown. i root for Virgina Tech in football. but thats bout it. so get to know me... email me [especially if ur a guy ;]] cause im single and 28. peaacee outtt <3
QFPNHU4ZQ62SVZJO2PTWGY3LRQ	I love Boston sport. Redsoxs,Patriots,celtics and bruins. Oh and also the B.C. Eagles. I love to watch and play sports!
QWE54DTMTDZUWE5XSHF54TAMBI	i love manchester united and the lakers <br> <br/> i dont care if we win or lose or if we get relegated i'll still watch my red devils <br> <br/> i dont hate any clubs except man city and real madrid because they are killing the sport by splashing tons of money which they get easily(madrid from their government and man city from their filthy rich arab sheiks) <br> <br/> i respect every club except these two(yes even liverpool)
QKDAJ5X37G7VWKLVCFAXWOMPPY	My name is John Bell and my main area of knowledge is flute. I have been flute for quite a bit of time now and I am now attending college for music education and business. I attend Concordia College in Moorhead, MN and am planned to graduate in 2015. <br> <br/> <br> <br/> I have a flute website for which I have building for a number of years and is my main way to teach flutists old and new how to advance their techniques. You should check it out: <a href="http://www.flute4all.com" rel="nofollow">http://www.flute4all.com</a>
QMWNSE3PJVSU5XR4VXJE3LARGY	I'm a fun loving kind o girl who likes to party..Good with friends and good with encouragement.. like to be helped and to help..I am a nursing student who is in touch with her society and earth..a lover of peace waiting for the universe to unfold the its truth..
QYWD6FX5UEFKOGSS627FMCGL34	Hello, world! Greetings from Reno, Nevada. <br> <br/> <br> <br/> I'm a 48 year old research engineer - currently working in petrochemicals but have actually spent more of my time in mining and extractive metallurgy. I tend to hang around the earth sciences board, but on a slow night can sometimes be found foraging around in other areas.
QVDF27UCSLYCNEZMH77JGOPHFI	I'm a close 30 something woman who loves horror movies, cartoons, bellydancing, and ren faires. Love learning about metaphysics too. <br> <br/> <br> <br/> To view more go to: www.myspace.com/neutralgirl <br> <br/> <br> <br/> or <br> <br/> <br> <br/> Youtube.com/neutalgirl <br> <br/> <br> <br/> I'm creative, and imaginative. I have a 2 year old Puggle (Pug/Beagle hybrid) named India. <br> <br/> <br> <br/> thanks for checking me out!
QPH7HPN246IDSQVWFPT3NNY62I	Hey, I'm ReptileTanner <br> <br/> I have three Reptiles of my own, one bearded dragon (Spike), I also have one lepored gecko (Leo), and one carpet pyton (Tyson). I am a Reptile Expert at my local petland. And enjoy helping other's with there Reptile Q's...
QZJ2PMHX6JOBU53WLXN7I77OSY	I am an up and coming artist from Texas. My name is Serenade... I'm trying to get people to check out our music.... The group is called PSP (Picture Sho Pullaz) here is the link <br> <br/> <a href="http://www.youtube.com/watch?v=s7tVdWsIND8" rel="nofollow">http://www.youtube.com/watch?v=s7tVdWsIN...</a> <br> <br/> <br> <br/> Please leave comments about what you think... THANX!!
QNJAC5ZNV6GZNZUA3LJZ6DMIW4	LES COMENTO UN POCO DE MI:SOY TÉCNICO DE PC, TENGO LOCAL DE COMPUTACIÓN A LA CALLE UBICADO EN LA ZONA DE RAFAEL CASTILLO (PDO LA MATANZA). TODOS NUESTROS TRABAJOS REALIZADOS COMO ASÍ TAMBIÉN NUESTROS PRODUCTOS CUENTAN CON 30 DÍAS DE GARANTÍA. <br> <br/> PRESUPUESTOS SIN CARGO, NORMALMENTE BRINDAMOS LOS PRESUPUESTOS EN EL MOMENTO QUE TENEMOS LA PC A REPARAR Y LAS REPARACIONES NORMALMENTE LA REALIZAMOS EN EL MOMENTO PARA MAYOR SEGURIDAD Y TRANQUILIDAD DEL CLIENTE. <br> <br/> REPARAMOS PC DE ESCRITORIO, NOTEBOOKS Y NETBOOKS. <br> <br/> VENDEMOS COMPUTADORAS (USADAS Y NUEVAS), MONITORES (USADOS Y NUEVOS), INSUMOS, ETC. <br> <br/> NUESTROS HORARIOS DE ATENCIÓN SON DE LUNES A VIERNES DE 9 A 13HS- 16 A 20HS Y SABADOS DE 9 A 13HS. <br> <br/> EMAIL: rafaelcastillocomputacion@gmail.com <br> <br/> TELÉFONO: 1550492296.
QZHI72BCSOHKVUYGQV6ASWOZ7E	NAMA BINGO , LAKI LAKI , CUKUP TINGGI , <br> <br/> TINGGAL DI INDONESIA , <br> <br/> SAYA SUKA PUNYA BANYAK KENALAN DI MANA SAJA , <br> <br/> KARENA SAYA SERING TRAVELING .
QULELTX5E2XVKZND4H54KP5VK4	For the week of September 28 to October 1 2009 the news focused on the Elizabeth Smart case and how she testified in court that she was raped everyday by her captor. There was a desperate search for survivors of the Indonesia earthquake, they except a number of people are trapped under the debris but thousands are likely dead. Fossils from 4.4 millions years ago have been reported to be older Lucy, the oldest fossil to relate to mankind's beginning. It's been reported that most babies born today lived by hundred. An arrest was made in the killing of five members of the Illinois family. Abortion support, researchers have reported that support for abortion has fallen in the past year and support has been split between both sides. At the port Columbus airport in Ohio there was a foul odor that was reported being smelled and five airport members were rushed to the hospital, the smell was later confirmed to be coming from a construction site on a rooftop. The smell cause a delay in the airp
QJ4U4E6667ZYKPCSYYGMQA36II	I live 20 mins east of Cleveland ohio north . I am 5'8 125lbs blue eyes, brown hair w/ blondlights in my hair. I like watching football and baseball. I hangout at clubs with my friends.
QQPPR7CV4SMVEIVCV7QM65L4BA	im just some random teen girl from usa...I love movies some sports,shopping bowling swimming and i love and believe and God:)
QKP7Z7GG6Q22XIAS44RJ4P52FU	19 years old, born in Argentina, living in Japan.
QD22IB67V6CQVUSNBUYAANSUWU	19, Scotland UK
Q4Q7PI2JEKLZSYQFWLFCNGQ3MY	My name is BreeAnn and I live in Florida. Currently am going to school for psych and then nursing. I love chatting to kind people such like myself. :)
QJU6R5N3UTGSQGFCHPZ3IA5JEE	No AntiVynin for this Beast <br> <br/> Name: Jordan <br> <br/> Age: 20 <br> <br/> Gender: Male <br> <br/> Race: Biracial (Black and White) <br> <br/> Sign: Capricorn <br> <br/> Preferred Categories: Music and Words & Wordplay <br> <br/> Suspensions: One, haha <br> <br/> Favorite Music: Metal and Rap/Hip-Hop <br> <br/> Favorite Bands and Rappers: Lamb of God, Meshuggah, Chimaira, Devildriver, Testament, Young Jeezy, Tyler the Creator <br> <br/> Likes: Women, and Drumming <br> <br/> Dislikes: Black Veil Brides, Hypocrites, Cheaters, and Ignant mothertruckers
QOYCUO5IUTHFCHIEV3Q7DO3GH4	I'm a guy who lives in the New York area. <br> <br/> <br> <br/> I've got a facebook, and if I really like you and you ask really nice you can have it. <br> <br/> Other than that, uhm, I don't really know what to write. <br> <br/> <br> <br/> I'm a raver and have an interest in the strange and unusual. My sense of humor leans toward the dark and grim (but not disgusting) side. I enjoy books and movies dealing with the end of the world - in one form or another (uhm, except for Al Gore's c*ap and global warming propaganda) <br> <br/> <br> <br/> I'm very opinionated, have had a rather quirky life, and am quite adept with computer and technological matters (aka a geek) as well as English, History and the other social sciences mail me :)
Q5FM52FJDGOA5C6WFN5QUC5F7U	Im 28 years old. I have a formal education on life. Ive been through a lot in my short time so I have a bit of usefull information about a lot of different topics. Im a low voltage electrician and I work primarily on access control systems. I was trained as an EMT-B with a CPR certification Volunteer fire fighter. I have training in mill-work, Building automation systems, I can program schlage lock software be it bright blue or SMS. I have a tendency to dislike society as a whole. I have this feeling america is slipping into the gutter. I think I would prefer life somewere like italy or greece. Maybe even thailand. <br> <br/> I last read believe it or not, the percy jackson series and before that was a book about John Kerry. Im all over the map on information I bring in.
QUUNAOORHUH6AG2P7GXI54RKJM	I am Insane. I like White Tigers *GROWL* . And I forgot...I live on earth, I live in the usa. And I do not judge people whatsoever! Bye...R136A1 Blowup
QQMSTHXG4VYO7BJWGMZSWIZHKM	I'm Audra; an aspiring web designer from Indiana. I take interest in psychobilly music, piercings, and many forms of literature.
Q4KWAT3F42OQWMUK2PP7MKENZM	I am a Certified ColdFusion Developer. I have been doing web development since the year of 1995. <br> <br/> <br> <br/> Graduated from State University of New York at Albany in the year of 1997. Double major: Math and Computer Science. <br> <br/> <br> <br/> Permanent member of Golden Key Honor Society. <br> <br/> <br> <br/> I don't mind people asking me questions on web development directly. Please be clear on what exactly you want to know though. <br> <br/> <br> <br/> Fluent in English, Mandarin, and Cantonese. <br> <br/> <br> <br/> Business owner: I own a database development and web development company. <br> <br/> <br> <br/> As my nickname suggests, I zknit. I have done socks, baby afghans, and many scarfs. <br> <br/> <br> <br/> Check out my facebook applications: <br> <br/> 1) Alternative Medicine: <a href="http://apps.facebook.com/altermed/" rel="nofollow">http://apps.facebook.com/altermed/</a> <br> <br/> 2) Conversation Hearts <a href="http://apps.facebook.com/convhearts/" rel="nofollow">http://apps.facebook.com/convhearts/</a>
QHTKETBJF3XBJHYPCEVTIIACXM	My name is Curtis, I was born in Los Angeles California, and I grew up in several different places around the state. My hobbies, in order of importance, include: martial arts (#1), health/exercise, computers, reading, and learning. I put learning as a hobby because I like to learn all kinds of different things; about science, nutrition, history, other cultures, etc. I am a Christian, and I am always happy to share the love of Christ if you have any questions! I am married to a beautiful woman named Andrea, and I am so grateful to be able to share my life with her. I love teaching and working with children. I am currently attending college with a major in English. I plan to be a High school/College English teacher.
QHJAZAECPVML5A4E5U3A22Z24E	I'm 57 musician. I play piano since 45 years. I like to compose and arrange. <br> <br/> I suggest to read "What to listen for in music" by Aaron Copland; © McGraw Hill; ISBN 978-88-11-67422-1. <br> <br/> If you love music very much write me something. I might decide to help you. <br> <br/> September 8, 2013.
QSUA62AQPCSJY4VE75HIJZYVKA	I am Jena Claire Reinhardt. I am 13 years old. I currently live in Jeffersonville, Indiana. I go to Parkview Middle School as well. This is my last year though. <br> <br/> <br> <br/> I do have a facebook for anyone that knows me personally. I do get on that more than this. <br> <br/> <br> <br/> I play basketball and volleyball. I love to go shopping as well. I go to the movies as much as I sleep. I listen to anything that Justin Bieber or Taylor Swift sings. I have one and only book I read and that would be the Bible. <br> <br/> <br> <br/> "Always go after what you believe in, because if you don't you will never know how far you can actually make it." <br> <br/> <br> <br/> "Love everyone, even if you know they hate you, and God will reward you for loving." <br> <br/> <br> <br/> God is Love, <br> <br/> Jena Claire Reinhardt
QPAV6TTHOKP4ZXV7CNJYB775QQ	My name is Krystal. <br> <br/> I am 13 years old <br> <br/> I live in Minneapolis,Minnesota <br> <br/> my best friends name is Haley. <br> <br/> I have 2 siblings:1 brother-Josh & 1 sister-Alicia.
QCRQGXDNDT7P4A6K64E53TYAQU	Hi, <br> <br/> <br> <br/> I am 26 years old and from Ireland in Europe, I am not really good at anything and have never broken a world record and my personality is as changeable as the weather sometimes i piss rain other times i shine gloriously. My bestest advice would be to tell everyone to enjoy these moments in there life cause thats all they are is short brief moments :)
QFL45WTCEPUENKTVM4HG3QHQYI	Well, gosh, I'm just like most 19-year-olds, I guess. My hobbies are swimming (but my legs are too long), movies, theoretical physics, journalism, talking to friends, and tanning. And trying to write pithy answers on Yahoo! Answers, of course. And guys, except they seem to be afraid of me but they won't say why and just stare at my chest and bug out their eyes a little. I live in Manhattan at 306 West 54th Street.
QUZGXWYE6VRQMXNCRZKOR6HHJA	Hey everyone, my name is Regan. I am 24 and a stay at home mom and very proud wife to my husband Adam and and even prouder mommy of four presious angels... <br> <br/> Kale Chance - 7 <br> <br/> Weston (Wes) Pierce - 3 <br> <br/> Eden Alyssa - 3 <br> <br/> Dakota Chris - born 5/1/2010 <br> <br/> <br> <br/> Add me or email me, I am happy to talk to anybody! <br> <br/> <br> <br/> *my picture is of my newborn Dakota* <br> <br/> <br> <br/> email: regandegraw@yahoo.com
QJHGRP2L4JM4DE2IR3SNUCJYGU	hi. im jonathan, im 25 and work in human resources for a chemical plant outside of baton rouge louisiana. im an aquarius, love to cook, love my friends, know a little about a lot, and alot about nothing. very open, anything else please dont hesitate to ask.
QMWCAGJWAYJTJTVCJWTTZSQPCA	I'm Amanda, I'm 22. My husband Shawn was in the Army and was killed in Iraq over two years ago & that's been undescribably hard. I'm now with a wonderful man named Henry & we have a beautiful baby girl together named Cadence. Henry saved me from myself & taught me to live again & Cadence has healed places in me that I thought could never be fixed, places I didn't even know were broken. I love Henry & Cadence more than anything & I would be lost without them. I know without a doubt that Shawn sent them to me & that he's watching over all of us from Heaven. That's about it I guess. Being a Mommy takes up most of my time so I'm not online much. <br> <br/> <br> <br/> Henry- I love you, most I win. You're the one. You are my best friend & always will be. I wouldn't be here today without you. <br> <br/> <br> <br/> Cadence- You are beautiful & I love watching you grow (although I wish you'd slow down!) & learn new things. I love you, my baby girl. <br> <br/> <br> <br/> Shawn- I miss & love you every day, forever. Thank you, for everything.
QITZRU6YBXIIJX6Z75WNBDKUO4	False Emotion <br> <br/> Emotions are powerful. No emotion leads to control over power. Power can only be gained with emotion. Never forget the morel of this story. <br> <br/> Jesse <br> <br/> I am Jesse Hernandez. I live in the city of Lilac town. I am 12 years old and finally can go and leave “The Nursery”. “The Nursery” is where the children are born and raised. I have not met my real parents. I hope the “Outside” is easy because I missed the informational video that tells you everything to know. <br> <br/> Jen <br> <br/> I am Jen Lilac. I live in Lilac Town. I left the “The Nursery” at 12. I don’t like it on the “Outside“. It is not right. The Emperor has his own vision on his way of doing things. The paths he takes are wrong and inhumane. Lilac Town is advanced but inhumane. Something has to be done but The Emperor’s guards are the most powerful of all men. Only if I had the smallest shred of control
QZXWHQAKEOZTW6U33SG26RM6IQ	I live in vancouver, chinese, balck hair, brown eyes, likes hanging out with friends, or playing badminton~
