3INJ4LZC7PNUZNQX4VMS3IK2B4	hi, i love photograpy and live in arkansas. please help answer my questions! ill help answer yours!
RGVBVZ55NVDEVGR5PTQEU776FE	I live in Memphis Tn
RBZOMDN4YASO26DMAIB66IWPYY	Hons Degree in Geology. <br> <br/> Commercial Diver; North Sea and West Africa <br> <br/> Amateur Boxer and coach. <br> <br/> Cycling.... Continent touring (16 month cycle around the world in 2010). <br> <br/> Marathons. <br> <br/> <br> <br/> Goal next year... Marathon de Sables. <br> <br/> <br> <br/> “All truly great thoughts are conceived while walking” Friedrich Nietzsche
RILV2FGF6D5AHCPYQBE6BKFISI	My name is Amber and I'm 22. I'm from Illinois and I'm a pretty out going person and loves to try new things. I'm engaged to the most amazing man ever, who's name is Dan! Well, that's about it. Not to much to me!
R4J2SK7SUQJOMQPCLEMV7RZATA	Hi! I am a 15 year old teen. A cricket-lover and a Hannah Montana fan, I am fond of Enid Blyton novels. I prefer to b casual and carefree and I am into Biology. With a younger sis, this 5'4'' girl with short hair and black eyes hails from Jharkhand (India). <br> <br/> Guyz! link to my Y!360 Pro is : <a href="http://360.yahoo.com/vipulnikita">http://360.yahoo.com/vipulnikita</a>
R6LAV3TFQ2ZBTU3K6WMKRPCHAY	Hi! <br> <br/> <br> <br/> I'm Amy Thomas and I am a home-schooled student. I love to sing and act and I one day hope to take the role of Eponine in Les Miserables, Mrs. Lovett in Sweeney Todd, Nancy in Oliver and (possibly) Elphaba or G(a)linda in the musical Wicked! <br> <br/> <br> <br/> I like tea! GIVE ME CAFFEINE! :D
R7ZKTHEFP62XL2IGGZJWFV4NYM	A translator and closet artist... (and I don't mean I'm painting small rooms:) ...from Hungary with a penchant for dictionaries, interesting objects and fashion.
RP2JXDSMUPD2OHDYGDNNEAFEVE	I am a computer repair technician living in Ogden, UT and working at a computer store.
RROKSITZURCX5GUCWIQCGGHKHY	Rock star from Austin, TX
RKDDTTNVLP77JV4N34ZUXZ2BFM	I am a used car dealer in Singapore. My Job is to assist my customers to purchase quality used car and also assist them on selling their used car. <br> <br/> <br> <br/> I always trying my best to assist my customers in terms of car repair, accident claim and any other matters within my knowledge and ability to help.
RIVO6HAOF7UBQBKYMCQILVHHEE	I live in Philadelphia, although my career will probably take me elsewhere. I work in sports (Im an athletic recruiter and also work in basketball operations for a pro summer league). I love to travel to different US cities and meet people. I love Philly and our sports teams, I am an Eagles season ticket holder ( I hate the Dallas Cowboys). I also love spending time with my 16 month old niece and goddaughter, she is hillarious and a blessing in my life. I enjoy laughing for no apparent reason, and Dumb and Dumber is my favorite movie.
RKTOC3EKTP7YNV2BIHZVIQ3A5U	freelancer, Germany
RAR6BIQW3N76IXXYYJM2SYNGRM	i am a cool,handsome,awesome dude from India
RYZHRN5SDDZKRJG3LWWWUS4X24	you're so self-deprecating, you prob'ly think this song is <br> <br/> <br> <br/> <br> <br/> <br> <br/> i'm from england (is that by yurop...?) <br> <br/> <br> <br/> <br> <br/> <br> <br/> <br> <br/> <a href="http://www.flickr.com/photos/imhotep153/4175611106/sizes/l/in/set-72157622977113004//">http://www.flickr.com/photos/imhotep153/...</a>
R2MMWWO3U7HF2ZD2O3HX2QKSEA	I am from Windsor Ontario and I now live in NC a HUGE Canes fan...some people call me a CBC (Canadian by birth, Caniac by choice)! My boyfriend plays SPHL hockey in NC and I am also a former competitive figure skater.
RLGFPIVIRINGGAOUSLOTSK3NX4	Im a great person who loves life , im blesssed.... i have great family and friends, Im 19 years old and stay in california:)
RQPLC35CU66DTLCD3L3MF6QHG4	I live in Hollywood, (California). I am a mathematics and computer science major. If you want to have a conversation about String Theory, Artificial Intelligence, or God, feel free to write me. Or if you want to talk about anything really deep, you can definatly write me also. <br> <br/> <br> <br/> Brian
RHPM25OQ3U7I6KG5PWPKVJ5ZLI	Hi, me sunny, 22 male from Bangladesh. Studying in a medical college, doing Mbbs. I want to be a good doctor and want to serve the human, espically the poor people. This is my life dream. God I seek thy help! I also love to study comparative religion and preach! <br> <br/> <br> <br/> Anyone can contact with me on facebook genius_glory@yahoo.com
R2FTT5IHQBO3HRCEIQQGZVBCWU	I LOVE TO PLAY SOCCER MY FAVORITE TEAM IS SPAIN
RCHFTSXQ46I5ZPG7NSIRP47MZM	Hey! I'm Casey and I'm a student at the Georgia Institute of Technology in Atlanta.
RH3GVUXHTY44TVIO4JYDQXEM7A	I'm Amelia. <br> <br/> <br> <br/> I'm 22. I'm a BioChem major. I'm applying to med school next year to get my MD. Praying to get in! <br> <br/> <br> <br/> I'm in college, and I'm from Massachusetts, but I am proud to say that I'm not one of the liberal commies. In fact, I'm the total opposite. I'm a pro-life, pro-gun conservative; I've been to a tea party, My hero is Sarah Palin, I've met her twice, and they were the two best moments of my ENTIRE life. <br> <br/> <br> <br/> Couldn't live without my Labrador Retriever, she's my best pal, and I couldn't ever imagine life without her. <br> <br/> <br> <br/> That's it for now. I don't know why I just wrote all that.
RQLKC2P3VP2755JDOY4I2D3ONM	32/F. I hail from East Norwalk, Ct. <br> <br/> Have lived in NYC.Maine.Chicago.Indiana. And all over my home state. <br> <br/> I dig movies,music,helping animals & people,reading,holidays,book stores,coffee houses,bike riding,observing fall foliage,parks,beaches,tv,arts-n-crafts,l... new things,computers,photography(my dream is to go pro),exploring haunted places,all things ghostly.paranormal.haunted,swaptree,mysp... society,cool people,taking naps,dollar stores,candles,my uggs,fairies.angels,dunkin donuts,candles,flowers,laughing,markers.... books,makeup.hair prozducts,indulging myself,cooking,languages.cultures,aspca.... society.alley cat allies.local shelters,volunteering,1st snow fall of the year,xmas lights twinkling in the snow flakes,new years resolutions,twilight,house md,sons of anarchy,the cleaner,nip tuck,the e channel, national geographic channel,scrubs,charmed,the oblongs,family guy,american dad,robot chicken,chowder,true hollywood stories,celebrity watching ;)
RNDHYBIQJJ4GBTPVOCKATHCQDE	Investment manager for DNA Investments in Dallas, TX <br> <br/> <br> <br/> <a href="http://www.daxdesai.com" rel="nofollow">http://www.daxdesai.com</a>
RDPK4TA6NFETBB37FP73XQMTOI	FEMALE, 19 <br> <br/> ALL ABOUT MY MONEY <br> <br/> IN COLLEGE <br> <br/> LIVE IN MARYLAND <br> <br/> I DONT BULLSHIT <br> <br/> IM COOL AS HELL AND EASY TO DEAL WITH
RXB2VIOCKENJGUG6H2PQTHKUVY	Currently residing in Los Angeles.
RJTVFFCEGM6AOS6ZZQJYRUB6H4	I live in flawda haha but i was born in cuba, living and loving life.
RGAIJMBUN3YW62TM5WKDWQ3TXE	Inquisitive, that's me. See it in my eyes. I ask more than I answer. I'm currently staying in India, so I'm welcome to any questions regarding Indian issues. My friends find me good at giving advice, and I'm here to do just that. <br> <br/> <br> <br/> SEEK THEz WISDOM THROUGH THE AGES, BUT LOOK AT THE WORLD THROUGH THE EYES OF A CHILD.
RGMSDNY5ZASNGGV7ISXEQK6AHU	I love Hannah Montanna she rocks I also love Mememolly on youtube I loved here new video called the internet (you should check it out some time)I'm also trying to save enough money to get a miley world so bye and ugh rock on!
R4GAMNFHCN3NGD2HJFC5CG6USY	I am 16.. live in Licking, Missouri.♥ <br> <br/> <br> <br/> <br> <br/> <a href="http://www.myspace.com/danahyacinthgross" rel="nofollow">http://www.myspace.com/danahyacinthgross</a> <br> <br/> <br> <br/> <br> <br/> <br> <br/> <3 <3:<3 <3
R3RQAMHQCCBOOKWZCHO6PAUK2Y	I'm 18 and from California, and taken.
RQDFOF57PRF46DJ2OIADNNS5DA	Hmm <br> <br/> I'm a 20 year old geek of sorts. <br> <br/> I'm sort of based in both Melbourne and Singapore. I like fixing any tech problems, and I'm pretty well informed. This is strictly my hobby, as I'm studying something entirely different. <br> <br/> Fire me all your IT based questions, simple stuff like tuning up your system to overclocking, resetting bios, running ubuntu/ other linux stuff, modding etc etc Love hardstyle, hardcore music and some rock as well.
RXFQIHGNJN7Y7QBHUJYYMJ5K5M	hey sup? <br> <br/> <br> <br/> I'm Rishi. <br> <br/> 19,Delhi(India). <br> <br/> got suspended. <br> <br/> Flying steward <br> <br/> play in band. <br> <br/> Love anything on wheels. <br> <br/> email only if your not creepy :P. <br> <br/> <br> <br/> thanks ! :P <br> <br/> <br> <br/> 90% σƒ тєєηѕ ωσυℓ∂ нανє α ηєяνσυѕ вяєαк∂σωη ιƒ мιℓєу ¢уяυѕ ωαѕ ση тнє є∂gє σƒ α ѕкуѕ¢яαρρєя. α∂∂ тнιѕ тσ уσυя ρяσƒιℓє ιƒ уσυ αяє α ραят σƒ тнє 10% тнαт ωσυℓ∂ ѕ¢яєαм, "נυмρ, ●●●●●, נυmp <br> <br/> <br> <br/> ╔╗╔═╦ <br> <br/> ║╚╣║║ Łiŋҝiŋ Pẫřҝ rules. <br> <br/> ╚═║═╝
R25AWQJE6KPNVZWN44OZ2RXPFI	26 y/o female from Calgary, AB. <br> <br/> <br> <br/> This site is addictive. I should really go to bed, I have to be up in six hours....
RX2L7CWAHQR34T3SCM7EDUU57M	I've been married for almost 2 decades and we are the proud parents to a 15 year old son... which basically means I'm scared to death most of the time, and you should be too because he'll be driving soon. I'm a Director of Training for an apartment management company, and am married to a comedian, so our home life is never dull. <br> <br/> <br> <br/> We love to travel, and go to Europe as often as we can get away.
ROSNLKUPN4ON37BAPBL75MBDTU	My priorities:God,Family,Pets & Friends~ <br> <br/> SisterSpiritWolf is my Cherokee name. <br> <br/> I am 46, 2 kids,5 grandkids <br> <br/> I'm a retired published songwriter & poet. <br> <br/> I love #88, wolves, Native American culture,the beach,bon fires,camping,& most sports.Packers fan. <br> <br/> FAV actresses are Sandra Bullock,Jodi Foster,Olivia Wilde ,Susan Sarandon & Betty White,Jennifer Love Hewitt <br> <br/> FAV actors are Sean Penn,Nic Cage,Eddie Spears and Luke Perry,Anthony Hopkins,Jack Nicholson <br> <br/> FAV metal bands are Priest,Sabbath & Ozzy. <br> <br/> FAV classic rock band is AD/DC. <br> <br/> FAV SOUL sisters are JoJo & Joss Stone! <br> <br/> FAV Alt pop singer is Kim Petras. <br> <br/> FAV bluesmen SRV, KWS & Johnny Lang. <br> <br/> FAV Cont Christian singers Twyla Paris & Sandi Patti <br> <br/> FAV chick rocker ORIANTHI <br> <br/> FAV Country girl WYNONNA <br> <br/> FAV T.V. shows are Criminal Minds,House,Roseanne and Hot In Cleveland. <br> <br/> FAV movies are Coyote Ugly,Dead Man Walking,Milk,The Blind Side,Miss Congeniality 1,Billy Jack,If Only,Black Cloud,8 Seconds,Rocky Horror,Thelma & Louise
RR3HIKIXXXFZYWEH6PKYYPUZ5Q	The rain in Spain falls mainly on the ??????
RQMCXKWCRFNXDTRYPTFRYYU6QY	i do hair in kansas city. i am also a full times student.
R5TLKP52EQVWLO3DQXUFD2KBKQ	well i love fishing and boating the look on my son face sometimes is just unreal i drive road trains but may be changing jobs and going back into driving haulpaks in the mines i'am down to earth and dead set honest which has landed me in more trouble then i care to think about grew up out bush worked in a lot of remtoe placess never been out of Australia would like to see snow one day and dislike the big citys taxes most goverment kind people religous fanatics war dope smoking greenies tree huggers love country music and Elivs the King BBQ's and cold beer well thats about all i suppose anything else you'll have to ask me while i grab another coldie will ya!
RAT7QL4QJXVHBP772MLR5HIH54	I am a 27 YO male living in Indian Head , Maryland. I love to chat and interact with people, I have MySpace and enjoy having friends. If you are interested e-mail me and we can chat.. <br> <br/> <br> <br/> <a href="http://www.myspace.com/loving_life_4_ever" rel="nofollow">http://www.myspace.com/loving_life_4_eve...</a> <br> <br/> <br> <br/> I enjoy yahoo answers because I am able to learn what I am not so informed about. I also enjoy the people that take the time to answer my questions.
RGQUOZTE5YL5POBR6OLYE3W3MI	I live in Hamilton, work as district manager with the beer store, and play in a semi-pro celtic band.
R4E4PCZW5TLMR3ACOZEMANWLBI	Im only 11 ad i live in Austin, Texas. I came to yahoo for help on reports. VERY VERY hard reports. Im in 6th grade and already have about one test at least every day. It totally SUCKS!
R5NL6TZLFPC7LEGIHGYVG64XGM	I live in texas
RCC3VVCOVRAL3X2YJSN4CTGPEY	i'am a 18 year old african american female from cleveland ohio
RNFEECLS6EOMJBQOKUMBTBPQRU	USN 1983-2004 <br> <br/> NAVSPECWAR <br> <br/> Desert Storm, Kosovo, Iraq. <br> <br/> Devout Christian. Devout Republican, Devout Conservative <br> <br/> I make no apoligies for my Christianity. God is God all by himself, and His existance zis not contingent upon your belief in Him, Nor is He wringing his hands over what He will do about your disbelief. I find it uniqely ironic, that the liberal that preaches tolerance and diversity, will not tolerate those of faith, who believe in an absolute right and wrong, the absolute sanctity of life, and a God, that absolutely holds man accountable. <br> <br/> Anti Immigration <br> <br/> Anit socialist <br> <br/> Anti communist <br> <br/> Anti LIberal <br> <br/> Anti Abortion <br> <br/> Anti Gay marriage <br> <br/> Anti green movement <br> <br/> Anti islam embracing <br> <br/> Pro gun <br> <br/> Pro Life <br> <br/> Heterosexual <br> <br/> Proud Father. <br> <br/> <br> <br/> Liberals prove to me every day that the "fairness" and "tolerance" they preach are non existant unless it supports the liberal agenda. Calling your self a prgressive is alot like a blind man calling himself a visionary
RKWRWS6DKY6OBMWSPIFXK6QWGA	Hey, i'm Tameka.I currently live in island of Jamaica its very beautiful here. Most people would say i'm sarcastic and i really think i am. I joined answers to try to help people with any burning question that they might have and also for them to help me with mine. My friends like most of my advice and i hope that the people whose qoestions i have answered does too.
RCYYB6J42LRXE7MZY3BKAQDYVY	Japanese <br> <br/> true name: Rentaro Tajima(田島 廉太郎) <br> <br/> currently in the Philippines.
RS2FORR3PYXBYFNTNVH4NTDQ3U	Hi, Im 23 years old, i live in Australia. Im a Tauras, i enjoy Horseback riding and creating Art, Studying other religions and gaining veiws from different perspectives. I am Neo Pagan, and have my own unique set of beliefs that doesn't seem to have a catergory past Neo Pagan. <br> <br/> I have short brown hair, and eyes that change colour (nothing too fancy blues-different shades of green-gray). I have no favorite food, my fav drink is blue power aid/gatoraid. My best friend is my horse Ben, he is more loyal than any human being i have ever met, he is a Standardbred ex trotter who was rescued from the knackery, 6 years old, 16hh, and over 600kgs of pure mushy affection, and big hairy shoulder to cry on. <br> <br/> And i also suck out peoples subtle energy to remain healthy :)
RS3QW6JXC7EIN533OIGGZMNC2Y	heya!!! im DR. and im from montana. i love to be outdoors, and to talk to new people.
R72QC3VHPVKSWAPJTYDU7OGAYM	Hi, <br> <br/> <br> <br/> Am from Aberdeen, Scotland. <br> <br/> <br> <br/> Am 34, female and currently in a relationship. <br> <br/> <br> <br/> Not sure what else to write, but when I do am sure I will update this thing....... <br> <br/> <br> <br/> TTFN - (ta ta for now)
RU36ACBHY7HSUUT3PJFQRCDLFM	Hey! i am a 19 yr old from India . <br> <br/> crazy bout adventure sports, music , and a true narcissist.
RHTJPJMF3QRKDOHGCDYAJCRCNU	names Heather (: <br> <br/> 16 years old <br> <br/> love talking about absolutely everything <br> <br/> ND Art&Design at stratford college (:
RGS4FLG4KS4DZK6JGERQE6P6E4	The last excellent book I read was Locust: The Devastating Rise and Mysterious Disappearance of the Insect that Shaped the American Frontier by Jeffrey A. Lockwood. <br> <br/> Did you know that, before we killed them off, there were roughly the same biomass of locust as there were of buffalo in North America?
RC6UUHYIRBC7NVCB7YG3CKR36I	I am a dog lover. i love the color blue. my name is Ashley. I am a girl, DUH! <br> <br/> hair:brown <br> <br/> eyes:brown <br> <br/> i love art. <br> <br/> <br> <br/> my favorite singer right now is Miley Cyrus. She rocks. Go Miley!!! :D I am 13 years old. I live in Florida. I have my own room. <br> <br/> <br> <br/> My favorite show is charmed.
RAEQXIBIKPOARLMJ2XBELC7OOI	My name is Jim Jerricks. I was born in 1947, I am also new to the internet. I am mainly here to learn new things and share my experiences with whoever will listen. I fought in Vietnam and I used to answer questions in person, but now I can find people who need information. It wasn't a pretty scene, so I just would like to talk about my other interests like Harleys, Hunting and Fishing. Contact my email JimJerricks@yahoo.com if you fought in Vietnam or share mutual interests and want to share stories, experiences, etc. I am just your average American to be honest.
RQPSNWPGWIPBGL2WAPH3GPMMBE	i am a friend. <br> <br/> <br> <br/> If Jonas Brothers said it wasn’t cool to breathe, 98% of all teens would die. If you're one of the 2% who don't care, put this on your profile <br> <br/> <br> <br/> 92% of the teenage population has switched to rap. If you are the 8% who still rocks, well. you rock! <br> <br/> <br> <br/> 98% of teens in America say they're bringing sexy back. If you are the 2% thats sexy never left...Copy & Paste this to your profile! Haha <br> <br/> <br> <br/> "92% of teens would be dead if Abercrombie & Fitch said it wasn't cool to breathe. Put this in your profile if you are the 8% who would be laughing" <br> <br/> 	 <br> <br/> haha i HATE Jonas Brothers, and Hannah Montana. I spit on Abercrombie & Fitch and rap. I dont follow the crowd and what people say is cool because i am my own person and not a mindless droid that society wants me to be.
R563PG2XM6IPFIUX4GHKZEZQFE	names kayla. 15 years of age. i live in US. wanna knw mre ask. ohh && you can e-mail anytime at hawaiian_surferq24@yahoo.com i'll always reply;] <br> <br/> -kayla♥
RS3Q3PTGP2DXXFAWLYXNJEVKXA	pre med biology major! attending Indiana University Bloomington.
RJJUWONYJZS7IZK2W4JZHZFYQ4	I'm 15... from England... I like metal and hardcore... and Italian food. When I'm able to, I'm sailing.
RRZM6S6BHKA3VKTOMZOYXLWTLE	Skrimp Nation For Life! <br> <br/> <br> <br/> I Cream Baby Skrimpz for America's Future!
RUDMGUHR7EQ3QIKK2WN4NS3XII	2017 Latest IPTV app - iview HD <br> <br/> 3 Days Free Trial. <br> <br/> <br> <br/> Can run on android mobile phone, like Samsung, TV Box/PAD/Enigma2 DVB Box...dreambox vu+, <br> <br/> Over 1000+ Live Channels, 2000+ Hot & Latest movies.. <br> <br/> Specially with Sport, EPL, Skysport, Beinsport, OTE, Nova, Ligtv... <br> <br/> www.livesmarttvbox.com
RNQMINQ7TNG3IOAEHZJNW66UQI	Whuts up, im Cat. <br> <br/> I live in Illinois, and hate it. Im not a fan of the citites, but the country. Anyways, its a cool place if u like million dollar scupltures that are so friken ugly u think a 2yr. old crafted them. ANYWAYS, you can email me any time im on almost every day, and yes i DO have a life other than being a computer freak. I constanlty play sports at my school, do my homework, prepping myself for college, and progress onto my dream of working with exotic elephants, specifially African elephants. Im a huge animal person, theyre my life. I really love to talk to people with similar interests as me and im really easy going and a go getter! Email mee, lets be friends(: <br> <br/> peacee, <3, and vegetariann. <br> <br/> -catttt
RJMTNVEJ5AEQSZRYIWIXZQINHY	I'm 16; <br> <br/> I'm from the UK and trying to figure myself and life out at the moment <br> <br/> I'm not into labels; <br> <br/> I like girls; <br> <br/> If you ever need help on anything, whatever the circumstances, just mail me. I wont bite, promise! =)
RWMH5H5H3AXDUU3RZ4JT2CMZG4	Superior Intelligence. I am the cure for stupid, I am your savior (looks in mirror) and I look damn sexy today. Interests: Computers, Science, Computer Science, Medical Science, T.V., Video Games, Computer Games, Card Games: Magic The Gathering, Yugioh, and Texas Hold-em, Basketball, Baseball, Soccer, Frisbee, Football, Sex, Boys, Anything Gay, Gay Lifestyle, Music, Myspace, Yahoo Answers, Various Websites, Website Design, Software, Tech Help, Table Tennis, Tennis, Beach Ball, Shopping, Magic-League, Instant Messaging, Movies, Walking, Riding, Driving, Studying, Helping Others, Charity, Exercise, & Internet Dating. (Other Information): : 12 time City Champion of Yu-Gi-Oh TCG, 6 time City Champion of Magic The Gathering TCG, Pro-Card Player, Multi Millionaire Party Poker Gamer, Expert Theorist, Follower of Scientology, Calculated Genius, Number 1 Table Tennis Player In Talladega County, Number 1 Pen Holder in Alabama, Big-Time Dick Sucker.
RRTKQ6BKZ76IEEXPQ75ZXRRHIA	IAm first year law student of school of excellence in law -Chennai
RXG3WMDF7OGN6LA3LRQ6ARXW6Y	Im a student at the university at buffalo majoring in speech and hearing sciences. I like people and i like to party and have a good time. Ive always lived in buffalo and i think its a great place to live!! Im a pretty straight forward kind of girl, so if you dont want an honest answer dont ask. <br> <br/> <br> <br/> I have a wonderfull boyfriend who i have been with for 3 years, he is leaving for the navy in April. I love my family and think America is the greatest country ever!!!
RQELMWCH7O5MEV7WHKJ6ZXGS4A	I belong to Kotgarh in Shimla hills and am a full time apple orchardist and a blogger. <br> <br/> <br> <br/> Check out my blogs www.himachallive.com and www.himachaltravelblog.com
6N2RMILB74IIYGO2K6GQCOVXYU	Grace and mercy are for everyone...not just me. <br> <br/> <br> <br/> I believe the Bible to be true in every way and to be the one true guide for our lives. <br> <br/> I believe in the Trinity—that there is one God, who has revealed Himself as the Father, the Son, and the Holy Spirit. <br> <br/> I believe Jesus is God and that He became a man. <br> <br/> I believe He lived a sinless human life and then died for our sins. <br> <br/> I believe He came alive again after His death and is now in heaven. We believe He will one day return to thzis earth in power and glory. <br> <br/> I believe in the ministry of the Holy Spirit who shows us when we sin, and helps us to turn from sin to godly living. <br> <br/> I believe that God has not rejected Israel. Therefore, for the sake of God, I offer friendship and support to the Jewish people throughout the world. <br> <br/> I believe that the church was created by Jesus and that He is its leader. <br> <br/> I believe that one day all people will spend eternity in either heaven or hades.
6GDBLNCASKDEIUF3W6BB4QLH2I	I've got a clown for a little brother, (really, he's studying to be a clown) my older sister is with the Peace Corp. (Peru) and I'm in the middle dealing with a rare form of Leukemia.
6RLJY2XCMB7ZYAHIPSBUCV43ZU	I'm Jordan. <br> <br/> I am who you make me out to be. <br> <br/> I'm really outgoing when in the right company. <br> <br/> I'm in love with Texas, fried food, and country music. <br> <br/> I live in Smalltown, USA. I love it. <br> <br/> I drive a truck too big for any parking spot. <br> <br/> I have plans, but I know that most high school dreams don't last. I'm cool with that. <br> <br/> I'm no where near perfect. <br> <br/> I do really stupid things without even thinking about it. <br> <br/> I firmly believe that everything happens for a reason. <br> <br/> A few people have learned that I will do absolutely anything for those people I care about. <br> <br/> I'm pretty much always happy. <br> <br/> It takes something REALLY bad to make me mad. <br> <br/> I won't blame someone for someone if it wasn't their fault. <br> <br/> I have a best friend. <br> <br/> She's amazing. <br> <br/> I love life. :)
67PT36NMSK6IEQJI5C4CO6YG5Y	I live in Scotland, United Kingdom. I'm proud to be British and Scottish . I live in Edinburgh and enjoy visiting the scenic Scottish isles such as Isle of Clyde. My wife is from London. My wife and I are both British. But she's not Scottish and I'm not English . I admire the royal family, especially Queen Elizabeth II. I have met Queen Elizabeth II. I love all 16 commonwealth countries and our 14 colonies, (British overseas territories are colonies)
6BRSD4NSW64SKGCK2SRKUG3X4I	I'm a 39 year old male that lives in St. Louis, MO. I have been married for 16 years to my lovely with Sherri. I have raise our only son Gary who is 21. I was in the Navy for 4 years out of High School and been working in Customer Service the last 16 years.
6DW5SBT6PPKDWTL36KYVAGGDRE	I m 22/m frm India, i am in the business off computer hardware wholesale
6LMPL4HGV3ZKSILS2ICY2EHLDE	I'm 23 years old and I come from the East Riding of Yorkshire, in England. <br> <br/> <br> <br/> Alone, alone, <br> <br/> Upon a mossy stone, <br> <br/> She sits and reckons up the dead and gone	 <br> <br/> With the last leaves for a love-rosary,	 <br> <br/> Whilst all the wither'd world looks drearily,	 <br> <br/> Like a dim picture of the drownèd past	 <br> <br/> In the hush'd mind's mysterious far away, <br> <br/> Doubtful what ghostly thing will steal the last	 <br> <br/> Into that distance, gray upon the gray.
6QARWBCF563MSHABT73Z67GWQM	turkish guy living in caribbean...
6CCBOOZHPHSUJYRDIZLLJ7SVSI	I love to play basketball I play small forward for roseville
6ZSVROSZREFYARPMOL4Q6OUMOA	Bodybuilding and fitness are my key areas of interest and passion. <br> <br/> I am 4 times MR TamilNadu (state level bodybuilding contest) Runer up in mr. South India and nationals finalist. <br> <br/> blogs - <a href="http://biglee-murali.blogspot.com/" rel="nofollow">http://biglee-murali.blogspot.com/</a> <br> <br/> Youtube - <a href="https://www.youtube.com/user/muralivijayakumar" rel="nofollow">https://www.youtube.com/user/muralivijay...</a>
6UIOTRR45XNXOUAEJUVRSPXUPM	I attend FSU in Tallahassee and really adore the college life. I am easy going, caring, and sincere. Helping someone out or making their day a little brighter definitely provides me with a rewarding feeling. <br> <br/> <br> <br/> My hobbies include writing, singing, athletics, and socializing. <br> <br/> <br> <br/> I hope to achieve all of my dreams!
64VYKH32DPO6QRLKSXN2UUZXOQ	Married, live in Los Angeles, Mother of 3. Office Worker. Just found out I am an American Indian. Luv tv,cooking,people, Gym. Practicing know-it-all
6KPELTPXUT6WO4G3I5ULWGYPNQ	I am married, have a degree in Mechanical Engineering, and my three main hobbies are working on cars, hunting and homebrewing beer. Other hobbies include paintballing, target shooting (and teaching others safe, hunting, responsible handling of firearms), cooking, role playing games (dice and paper, not computer), reading (especially sci-fi and fantasy) and many others. I have many opinions, but if someone is asking for help I try to give objective, factual answers. My wife breeds Rhodesian Ridgebacks (dogs that were origionally bred in Africa to hunt big game, including lions). You'll probably encounter her in the pets area most often, as she knows quite a bit there. <br> <br/> <br> <br/> "92% of the teenage population has moved on to RAP.If YOU are part of the 8% that still headbang and mosh and will never leave the punk and metalhead way of life then copy and paste this" <br> <br/> <br> <br/> I'm no longer a teenager, and haven't been for some time, but I'm pretty sure that RAP generally still starts with a silent C.
6OUYTMLTUFODVXOYZFWPG5SAQ4	Hey everybody names jill <br> <br/> <br> <br/> born in houston, texas but im going to school in arkansas (YAY!!!!! Go PSC Panthers) <br> <br/> <br> <br/> I like swimming, reading, going to the movies, and hanging out with friends. <br> <br/> <br> <br/> quiet, shy, polite, good listener <br> <br/> <br> <br/> want to be a successful lawyer someday so watch out!! <br> <br/> __________________________ <br> <br/> <br> <br/> <br> <br/> <br> <br/> 92% of teens would be dead if Abercrombie & Fitch said it wasn't cool to breathe. Put this in your profile if you are the 8% who would be laughing
64KZUSAWZVXBO7XBA25WGJL7VY	Land Rover Gold Certified Service Manager 2007-Present <br> <br/> <br> <br/> Land Rover North America - Consumer Affairs <br> <br/> 2006-2007 <br> <br/> <br> <br/> Land Rover North America - CRC <br> <br/> 2005-2006
6QZH5RAPLUVW7XM7ZUFFSPDX4U	I'm in the US Air Force currently stationed in Iraq. I grew up in Kentucky and am living in Florida right now. My job in the Air Force is Satellite Communications and I love my job. Where else can i get full benefits to pretty much sit around and play xbox all day. That's about all that I can think of to say.
6Y5O4RKIOWIPW7RVSH7V37IBXI	Herro:) <br> <br/> I'm Aly. <br> <br/> My favorite bands are The Maine, All Time Low, FTSK, This Prov and NSN! <br> <br/> <br> <br/> Let's be friends!
